dup_rate,key_id,m,tail_op,n_cu_versions,current_op,eligible,dup_injected_any,n_versions_duplicated,dup_on_current,caused_violation,verdict
0.05,197,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,94,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,857,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,467,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,443,3,c,2,c,True,False,0,False,False,MATCH_OR_OTHER
0.05,111,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,388,2,u,2,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,560,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,822,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,978,2,u,2,u,True,True,1,True,True,DUPLICATE
0.05,495,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,674,2,u,2,u,True,True,1,True,True,DUPLICATE
0.05,348,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,631,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,161,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,286,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,685,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,497,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,950,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,483,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,431,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,269,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,1177,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,274,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,942,2,u,2,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,281,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,667,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,156,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,769,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,421,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,450,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,360,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,630,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,754,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,182,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,387,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1055,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1138,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
