key_id,m,competitive_ops,tail_op,n_cu_versions,current_op,current_is_cu,current_dup_uniform,current_dup_fired,n_flags_fired,duplicate,verdict
773,4,uuuu,u,4,u,True,0.056458,True,2,True,DUPLICATE
226,8,uuuuuuuu,u,8,u,True,0.518307,False,2,False,MATCH_OR_OTHER
453,7,uuuuuuu,u,7,u,True,0.353028,False,2,False,MATCH_OR_OTHER
557,2,uu,u,2,u,True,0.805222,False,0,False,MATCH_OR_OTHER
906,4,uuuu,u,4,u,True,0.250891,True,2,True,DUPLICATE
1184,9,uuuuuuuuu,u,9,u,True,0.639503,False,1,False,MATCH_OR_OTHER
332,11,uuuuuuuuuuu,u,11,u,True,0.272355,True,7,True,DUPLICATE
457,2,uu,u,2,u,True,0.971971,False,0,False,MATCH_OR_OTHER
876,1,u,u,1,u,True,0.661958,False,0,False,MATCH_OR_OTHER
72,1,u,u,1,u,True,0.069744,True,1,True,DUPLICATE
550,1,u,u,1,u,True,0.673725,False,0,False,MATCH_OR_OTHER
561,6,uuuuuu,u,6,u,True,0.452915,False,2,False,MATCH_OR_OTHER
1091,3,uuu,u,3,u,True,0.406972,False,1,False,MATCH_OR_OTHER
157,4,uuuu,u,4,u,True,0.718377,False,0,False,MATCH_OR_OTHER
187,3,uuu,u,3,u,True,0.511654,False,1,False,MATCH_OR_OTHER
428,3,udc,c,2,c,True,0.959321,False,0,False,MATCH_OR_OTHER
465,4,uuud,d,3,d,False,-,False,0,False,MATCH_OR_OTHER
417,4,uuuu,u,4,u,True,0.791556,False,0,False,MATCH_OR_OTHER
375,1,u,u,1,u,True,0.348909,False,0,False,MATCH_OR_OTHER
635,2,uu,u,2,u,True,0.442055,False,1,False,MATCH_OR_OTHER
164,8,uuuuuuuu,u,8,u,True,0.954514,False,2,False,MATCH_OR_OTHER
385,1,u,u,1,u,True,0.265143,True,1,True,DUPLICATE
979,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
1048,4,uuuu,u,4,u,True,0.818375,False,2,False,MATCH_OR_OTHER
30,7,uuuuuuu,u,7,u,True,0.656390,False,3,False,MATCH_OR_OTHER
1251,3,cuu,u,3,u,True,0.714844,False,0,False,MATCH_OR_OTHER
1216,2,cu,u,2,u,True,0.610734,False,0,False,MATCH_OR_OTHER
529,5,uuuuu,u,5,u,True,0.216546,True,1,True,DUPLICATE
433,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
799,7,uuuuuuu,u,7,u,True,0.933357,False,2,False,MATCH_OR_OTHER
1147,1,u,u,1,u,True,0.792780,False,0,False,MATCH_OR_OTHER
882,6,uuuuud,d,5,d,False,-,False,3,False,MATCH_OR_OTHER
670,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
917,6,uuuuuu,u,6,u,True,0.973301,False,0,False,MATCH_OR_OTHER
1113,3,uuu,u,3,u,True,0.053506,True,1,True,DUPLICATE
721,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
717,6,uuuuuu,u,6,u,True,0.265023,True,2,True,DUPLICATE
513,1,u,u,1,u,True,0.937459,False,0,False,MATCH_OR_OTHER
1051,3,uuu,u,3,u,True,0.803477,False,1,False,MATCH_OR_OTHER
320,3,uuu,u,3,u,True,0.777539,False,1,False,MATCH_OR_OTHER
272,5,uuuuu,u,5,u,True,0.285581,True,3,True,DUPLICATE
840,1,u,u,1,u,True,0.287468,True,1,True,DUPLICATE
77,1,u,u,1,u,True,0.653989,False,0,False,MATCH_OR_OTHER
985,2,uu,u,2,u,True,0.023089,True,1,True,DUPLICATE
881,8,uuuuuuuu,u,8,u,True,0.144220,True,2,True,DUPLICATE
515,3,uuu,u,3,u,True,0.676465,False,1,False,MATCH_OR_OTHER
475,3,uuu,u,3,u,True,0.608468,False,0,False,MATCH_OR_OTHER
585,4,uuuu,u,4,u,True,0.706786,False,1,False,MATCH_OR_OTHER
460,2,uu,u,2,u,True,0.396078,False,0,False,MATCH_OR_OTHER
981,1,u,u,1,u,True,0.404335,False,0,False,MATCH_OR_OTHER
1224,2,cu,u,2,u,True,0.732265,False,0,False,MATCH_OR_OTHER
116,7,uuuuuuu,u,7,u,True,0.110902,True,4,True,DUPLICATE
959,1,u,u,1,u,True,0.766350,False,0,False,MATCH_OR_OTHER
553,1,u,u,1,u,True,0.478661,False,0,False,MATCH_OR_OTHER
393,3,uuu,u,3,u,True,0.788095,False,0,False,MATCH_OR_OTHER
776,7,uuuuuuu,u,7,u,True,0.195621,True,3,True,DUPLICATE
774,1,u,u,1,u,True,0.018568,True,1,True,DUPLICATE
211,9,uuuuuuuuu,u,9,u,True,0.659540,False,2,False,MATCH_OR_OTHER
138,1,u,u,1,u,True,0.546380,False,0,False,MATCH_OR_OTHER
374,3,uuu,u,3,u,True,0.497244,False,0,False,MATCH_OR_OTHER
249,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
571,1,u,u,1,u,True,0.306612,False,0,False,MATCH_OR_OTHER
463,2,ud,d,1,d,False,-,False,1,False,MATCH_OR_OTHER
854,5,uuuud,d,4,d,False,-,False,2,False,MATCH_OR_OTHER
1026,3,uud,d,2,d,False,-,False,2,False,MATCH_OR_OTHER
207,1,u,u,1,u,True,0.105936,True,1,True,DUPLICATE
1058,2,uu,u,2,u,True,0.606379,False,0,False,MATCH_OR_OTHER
593,7,uuuuudc,c,6,c,True,0.497851,False,1,False,MATCH_OR_OTHER
735,3,uuu,u,3,u,True,0.438205,False,1,False,MATCH_OR_OTHER
877,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
177,4,uuuu,u,4,u,True,0.359556,False,2,False,MATCH_OR_OTHER
867,4,uuuu,u,4,u,True,0.736091,False,3,False,MATCH_OR_OTHER
441,2,ud,d,1,d,False,-,False,1,False,MATCH_OR_OTHER
215,1,u,u,1,u,True,0.878201,False,0,False,MATCH_OR_OTHER
1145,1,u,u,1,u,True,0.205312,True,1,True,DUPLICATE
1167,3,uuu,u,3,u,True,0.169778,True,2,True,DUPLICATE
90,6,uuuuuu,u,6,u,True,0.065179,True,6,True,DUPLICATE
812,3,uuu,u,3,u,True,0.740753,False,0,False,MATCH_OR_OTHER
704,4,uuuu,u,4,u,True,0.239481,True,2,True,DUPLICATE
763,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
540,3,uuu,u,3,u,True,0.635065,False,0,False,MATCH_OR_OTHER
317,3,uuu,u,3,u,True,0.345949,False,0,False,MATCH_OR_OTHER
607,3,uuu,u,3,u,True,0.509540,False,1,False,MATCH_OR_OTHER
173,4,uuuu,u,4,u,True,0.281795,True,3,True,DUPLICATE
960,6,uuuuuu,u,6,u,True,0.516548,False,0,False,MATCH_OR_OTHER
865,5,uuuuu,u,5,u,True,0.572655,False,1,False,MATCH_OR_OTHER
133,2,uu,u,2,u,True,0.226478,True,1,True,DUPLICATE
445,3,uuu,u,3,u,True,0.853538,False,1,False,MATCH_OR_OTHER
1143,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
1019,3,uuu,u,3,u,True,0.137129,True,1,True,DUPLICATE
251,1,u,u,1,u,True,0.803711,False,0,False,MATCH_OR_OTHER
420,3,uuu,u,3,u,True,0.414081,False,1,False,MATCH_OR_OTHER
713,3,uuu,u,3,u,True,0.348751,False,1,False,MATCH_OR_OTHER
250,4,uuuu,u,4,u,True,0.565041,False,0,False,MATCH_OR_OTHER
183,2,uu,u,2,u,True,0.705751,False,1,False,MATCH_OR_OTHER
1037,4,uuud,d,3,d,False,-,False,0,False,MATCH_OR_OTHER
386,1,u,u,1,u,True,0.504832,False,0,False,MATCH_OR_OTHER
604,1,u,u,1,u,True,0.150136,True,1,True,DUPLICATE
324,2,ud,d,1,d,False,-,False,1,False,MATCH_OR_OTHER
146,1,u,u,1,u,True,0.497616,False,0,False,MATCH_OR_OTHER
482,2,uu,u,2,u,True,0.356912,False,0,False,MATCH_OR_OTHER
313,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
189,2,uu,u,2,u,True,0.321031,False,0,False,MATCH_OR_OTHER
265,1,u,u,1,u,True,0.660005,False,0,False,MATCH_OR_OTHER
944,3,uuu,u,3,u,True,0.046965,True,1,True,DUPLICATE
437,2,uu,u,2,u,True,0.545583,False,1,False,MATCH_OR_OTHER
957,1,u,u,1,u,True,0.136546,True,1,True,DUPLICATE
574,7,uuuuuuu,u,7,u,True,0.120398,True,2,True,DUPLICATE
923,2,uu,u,2,u,True,0.902666,False,0,False,MATCH_OR_OTHER
675,4,uuuu,u,4,u,True,0.006937,True,2,True,DUPLICATE
1004,1,u,u,1,u,True,0.372151,False,0,False,MATCH_OR_OTHER
1101,3,uuu,u,3,u,True,0.532402,False,0,False,MATCH_OR_OTHER
1136,6,uuuuuu,u,6,u,True,0.214303,True,1,True,DUPLICATE
1141,2,ud,d,1,d,False,-,False,0,False,MATCH_OR_OTHER
737,9,uuuuuuuuu,u,9,u,True,0.131574,True,3,True,DUPLICATE
805,3,udc,c,2,c,True,0.410193,False,0,False,MATCH_OR_OTHER
856,4,uuud,d,3,d,False,-,False,2,False,MATCH_OR_OTHER
1044,2,ud,d,1,d,False,-,False,1,False,MATCH_OR_OTHER
276,1,u,u,1,u,True,0.883439,False,0,False,MATCH_OR_OTHER
905,3,uuu,u,3,u,True,0.529305,False,1,False,MATCH_OR_OTHER
532,1,u,u,1,u,True,0.960967,False,0,False,MATCH_OR_OTHER
141,2,uu,u,2,u,True,0.662262,False,0,False,MATCH_OR_OTHER
474,2,uu,u,2,u,True,0.515443,False,1,False,MATCH_OR_OTHER
306,2,uu,u,2,u,True,0.164035,True,1,True,DUPLICATE
