key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
370,4,1259;2281;5983;7123,uudc,1;2;3;4,1;2;4;3,3,3,0.188303,True,c,7123,2,4,5983,d,0,True,MISSING_CURRENT
469,4,1260;1906;2137;2716,uuuu,1;2;3;4,1;2;3;4,3,-,0.834811,False,u,2716,3,4,2716,u,1,False,MATCH
663,10,1261;2160;2736;3448;4336;4422;4864;5769;6139;7278,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;2;3;5;4;6;7;8;10;9,9,4;9,0.036528,True,u,7278,8,10,6139,u,1,True,STALE_WINS
1181,9,1262;2331;4495;4642;4744;5573;6655;6808;7226,uuuuuuuud,1;2;3;4;5;6;7;8;9,1;3;2;4;5;6;7;8;9,8,2,0.769146,False,d,7226,8,9,7226,d,0,False,MATCH
855,3,1263;5406;6329,uud,1;2;3,1;2;3,2,-,0.524603,False,d,6329,2,3,6329,d,0,False,MATCH
61,5,1264;2033;2383;3073;3948,uuuuu,1;2;3;4;5,1;2;3;4;5,4,-,0.711252,False,u,3948,4,5,3948,u,1,False,MATCH
477,9,1265;1381;3226;3512;4353;4748;5280;5738;6448,uuuuuuuud,1;2;3;4;5;6;7;8;9,1;3;2;5;4;6;7;8;9,8,2;4,0.765343,False,d,6448,8,9,6448,d,0,False,MATCH
938,3,1266;2361;4321,uuu,1;2;3,1;2;3,2,-,0.809093,False,u,4321,2,3,4321,u,1,False,MATCH
82,11,1267;1311;1320;2316;2379;2870;3292;6248;6960;7171;7190,uuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11,1;2;3;5;4;6;7;8;9;10;11,10,4,0.331562,False,u,7190,10,11,7190,u,1,False,MATCH
545,10,1268;1430;1593;1618;1948;4990;5012;5136;5399;6882,uuuuuuuudc,1;2;3;4;5;6;7;8;9;10,1;2;4;3;5;7;6;9;8;10,9,3;6;8,0.683140,False,c,6882,9,10,6882,c,1,False,MATCH
1257,7,1269;2582;3434;3548;4324;7026;7073,cuuuuuu,1;2;3;4;5;6;7,2;1;3;5;4;6;7,6,1;4,0.266305,False,u,7073,6,7,7073,u,1,False,MATCH
13,8,1270;3051;3473;3518;4314;5204;6210;6385,uuuuuuuu,1;2;3;4;5;6;7;8,1;2;4;3;5;6;7;8,7,3,0.408913,False,u,6385,7,8,6385,u,1,False,MATCH
124,3,1271;1683;1930,uuu,1;2;3,1;3;2,2,2,0.062022,True,u,1930,1,3,1683,u,1,True,STALE_WINS
